# Region          : all region0
# Cells           : 200
# Volume          : 2.0000000000e-07
# Time            	min(porosityF)
1.92              	5.0000000000e-01
1.925             	5.0000000000e-01
1.93              	5.0000000000e-01
1.935             	5.0000000000e-01
1.94              	5.0000000000e-01
1.945             	5.0000000000e-01
1.95              	5.0000000000e-01
1.955             	5.0000000000e-01
1.96              	5.0000000000e-01
1.965             	5.0000000000e-01
1.97              	5.0000000000e-01
1.975             	5.0000000000e-01
1.98              	5.0000000000e-01
1.985             	5.0000000000e-01
1.99              	5.0000000000e-01
1.995             	5.0000000000e-01
2                 	5.0000000000e-01
