# Region          : all region0
# Cells           : 200
# Volume          : 2.0000000000e-07
# Time            	volIntegrate(Ycharm)	volIntegrate(Yashm)	volIntegrate(Yhumm)	volIntegrate(Yrubberwoodm)
0.47              	2.4674986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.475             	2.4937486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.48              	2.5199986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.485             	2.5462486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.49              	2.5724986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.495             	2.5987486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.5               	2.6249986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.505             	2.6512486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.51              	2.6774986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.515             	2.7037486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.52              	2.7299986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.525             	2.7562486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.53              	2.7824986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.535             	2.8087486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.54              	2.8349986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.545             	2.8612486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.55              	2.8874986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.555             	2.9137486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.56              	2.9399986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.565             	2.9662486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.57              	2.9924986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.575             	3.0187486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.58              	3.0449986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.585             	3.0712486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.59              	3.0974986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.595             	3.1237486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.6               	3.1499986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
